"CustomerID","Recency","Frequency","Monetary","Cluster"
12346,326.117361111111,1,77183.6,"2"
12347,2.87361111111111,7,4310,"4"
12348,75.9840277777778,4,1797.24,"4"
12349,19.1243055555556,1,1757.55,"4"
12350,310.867361111111,1,334.4,"1"
12352,36.9256944444444,8,2506.04,"4"
12353,204.79375,1,89,"1"
12354,232.985416666667,1,1079.4,"1"
12355,214.959027777778,1,459.4,"1"
12356,23.1736111111111,3,2811.43,"4"
12357,33.8631944444444,1,6207.67,"4"
12358,2.1,2,1168.06,"4"
12359,58.0020833333333,4,6310.03,"4"
12360,52.8944444444444,3,2662.06,"4"
12361,287.957638888889,1,189.9,"1"
12362,3.88194444444444,10,5226.23,"4"
12363,110.105555555556,2,552,"4"
12364,8.10277777777778,4,1313.1,"4"
12365,291.948611111111,2,641.38,"1"
12367,4.83472222222222,1,168.9,"4"
12370,51.9159722222222,4,3541.94,"4"
12371,45.1069444444444,2,1887.96,"4"
12372,72.0263888888889,3,1298.04,"4"
12373,311.986111111111,1,364.6,"1"
12374,25.8840277777778,1,742.93,"4"
12375,11.0930555555556,2,457.5,"4"
12377,315.878472222222,2,1628.12,"1"
12378,130.094444444444,1,4008.62,"4"
12379,82.1118055555555,2,852.24,"4"
12380,22.0576388888889,4,2724.81,"4"
12381,5.00416666666667,5,1845.31,"4"
12383,185.2,5,1850.56,"1"
12384,29.1743055555556,2,585.27,"4"
12386,338.009027777778,2,401.9,"1"
12388,16.0138888888889,6,2780.66,"4"
12390,80.1368055555556,1,549.84,"4"
12391,22.0298611111111,1,439.66,"4"
12393,72.88125,4,1582.6,"4"
12394,64.1958333333333,2,1272.48,"4"
12395,19.8951388888889,12,3018.63,"4"
12397,36.1236111111111,2,2409.9,"4"
12398,46.0993055555556,1,1635.66,"4"
12399,119.982638888889,4,1108.65,"4"
12401,303.958333333333,1,84.3,"1"
12402,323.959027777778,1,225.6,"1"
12403,50.0826388888889,1,427.7,"4"
12405,149.165277777778,1,1710.39,"1"
12406,22.7277777777778,2,3415.3,"4"
12407,50.1104166666667,5,1708.12,"4"
12408,33.0159722222222,5,2888.55,"4"
12409,79.0916666666667,3,11072.67,"4"
12410,309.090972222222,2,693.33,"1"
12412,75.1069444444445,3,1226.88,"4"
12413,67.1597222222222,3,758.1,"4"
12414,217.915972222222,3,562.41,"1"
12415,24.9361111111111,21,124914.53,"3"
12417,3.91527777777778,9,3649.1,"4"
12418,113.070833333333,1,668.58,"4"
12420,64.1631944444444,1,600.39,"4"
12421,16.1548611111111,4,807.04,"4"
12422,96.1263888888889,3,803.56,"4"
12423,1.11111111111111,8,1859.31,"4"
12424,163.030555555556,2,1760.96,"1"
12425,78.8048611111111,1,777.2,"4"
12426,195.016666666667,1,582.73,"1"
12427,22.1625,3,825.8,"4"
12428,26.1861111111111,9,7956.46,"4"
12429,9.81111111111111,4,3750.4,"4"
12430,43.9034722222222,1,256.4,"4"
12431,36.0381944444444,15,6419.95,"2"
12432,43.0465277777778,5,5059.32,"4"
12433,1.11666666666667,7,13375.87,"4"
12434,85.0083333333333,2,806.14,"4"
12435,80.1555555555556,2,7829.89,"4"
12436,100.028472222222,1,509.01,"4"
12437,2.05208333333333,18,4951.41,"2"
12438,14.9736111111111,2,2906.85,"4"
12441,367.086805555556,1,173.55,"1"
12442,3.93611111111111,1,172.06,"4"
12444,21.9770833333333,5,5005.46,"4"
12445,22.7548611111111,1,133.4,"4"
12446,58,1,1002.31,"4"
12447,243.975694444444,1,476.49,"1"
12448,44.9611111111111,1,449.45,"4"
12449,22.9611111111111,4,4067.29,"4"
12450,156.922916666667,2,197.88,"1"
12451,11.1736111111111,5,9035.52,"4"
12452,17.0986111111111,2,430.57,"4"
12453,134.945833333333,1,707.09,"4"
12454,56.8173611111111,1,3528.34,"4"
12455,73.8881944444445,6,2466.86,"4"
12456,44.9229166666667,3,3181.04,"4"
12457,66.9840277777778,7,2363.23,"4"
12458,71.8923611111111,2,947.4,"4"
12461,94.8284722222222,2,826.88,"4"
12462,19.1520833333333,2,1189.59,"4"
12463,53.9625,4,1344.78,"4"
12464,10.9701388888889,8,1212.05,"4"
12465,17.8444444444444,2,742.19,"4"
12468,188.051388888889,2,729.54,"1"
12471,2.87986111111111,30,19788.65,"2"
12472,32.9506944444444,7,6572.11,"4"
12473,29.9611111111111,5,3928.05,"4"
12474,17.9243055555556,18,7324.09,"2"
12475,54.1111111111111,1,723.38,"4"
12476,16.0069444444444,11,6816.42,"4"
12477,23.1243055555556,6,13219.74,"4"
12478,4.12083333333333,1,680.99,"4"
12479,11.975,1,527.2,"4"
12480,28.9152777777778,4,3281.63,"4"
12481,23.18125,10,5579.82,"4"
12483,17.825,8,2484.98,"4"
12484,33.0506944444444,6,4527.32,"4"
12488,10.1666666666667,3,1298.66,"4"
12489,336.984027777778,1,334.93,"1"
12490,5.86319444444444,10,5417.93,"4"
12491,39.0222222222222,1,460.4,"4"
12492,63.8993055555556,2,263.21,"4"
12493,166.10625,2,433.74,"1"
12494,16.1361111111111,7,1246.1,"4"
12497,82.0145833333333,1,1043.1,"4"
12498,21.9979166666667,3,403.7,"4"
12500,23.8541666666667,11,4257.82,"4"
12501,337.015277777778,1,2169.39,"1"
12502,96.0402777777778,5,3723.87,"4"
12504,18.8666666666667,2,482.05,"4"
12506,233.163888888889,1,73.5,"1"
12507,134.820138888889,3,1304.81,"4"
12508,26.8840277777778,2,397.88,"4"
12509,284.920138888889,1,176.5,"1"
12510,143.107638888889,2,982.57,"4"
12512,66.9131944444444,2,132.18,"4"
12513,113.082638888889,1,612.29,"4"
12514,267.841666666667,1,1017.68,"1"
12515,353.879861111111,1,383.7,"1"
12516,78.1506944444444,2,1312.06,"4"
12517,28.9486111111111,5,2481.6,"4"
12518,1.10902777777778,5,2056.89,"4"
12519,64.1416666666667,1,330.84,"4"
12520,79.89375,5,2634.26,"4"
12521,143.082638888889,1,599.68,"4"
12522,39.8888888888889,2,192.72,"4"
12523,19.9965277777778,11,1789.77,"4"
12524,9.88819444444444,8,4485.72,"4"
12526,1.02847222222222,3,1316.66,"4"
12527,82.0381944444444,3,348.71,"4"
12528,9.92361111111111,6,1933.48,"4"
12530,60.0111111111111,4,1662.28,"4"
12531,15.0680555555556,1,125.22,"4"
